ID,Area,gz2_label,ra,dec,ea,fy0,fa,gy0,ga,eb,fb,gb,circ_0.0,circ_0.11,circ_0.22,circ_0.33,circ_0.44,circ_0.56,circ_0.67,circ_0.78,circ_0.89,circ_1.0,circ_log_0.0,circ_log_0.11,circ_log_0.22,circ_log_0.33,circ_log_0.44,circ_log_0.56,circ_log_0.67,circ_log_0.78,circ_log_0.89,circ_log_1.0,conv_0.0,conv_0.11,conv_0.22,conv_0.33,conv_0.44,conv_0.56,conv_0.67,conv_0.78,conv_0.89,conv_1.0,ami_1_0.0,ami_1_0.11,ami_1_0.22,ami_1_0.33,ami_1_0.44,ami_1_0.56,ami_1_0.67,ami_1_0.78,ami_1_0.89,ami_1_1.0,ami_log_1_0.0,ami_log_1_0.11,ami_log_1_0.22,ami_log_1_0.33,ami_log_1_0.44,ami_log_1_0.56,ami_log_1_0.67,ami_log_1_0.78,ami_log_1_0.89,ami_log_1_1.0,ami_2_0.0,ami_2_0.11,ami_2_0.22,ami_2_0.33,ami_2_0.44,ami_2_0.56,ami_2_0.67,ami_2_0.78,ami_2_0.89,ami_2_1.0,ami_log_2_0.0,ami_log_2_0.11,ami_log_2_0.22,ami_log_2_0.33,ami_log_2_0.44,ami_log_2_0.56,ami_log_2_0.67,ami_log_2_0.78,ami_log_2_0.89,ami_log_2_1.0,ami_3_0.0,ami_3_0.11,ami_3_0.22,ami_3_0.33,ami_3_0.44,ami_3_0.56,ami_3_0.67,ami_3_0.78,ami_3_0.89,ami_3_1.0,ami_log_3_0.0,ami_log_3_0.11,ami_log_3_0.22,ami_log_3_0.33,ami_log_3_0.44,ami_log_3_0.56,ami_log_3_0.67,ami_log_3_0.78,ami_log_3_0.89,ami_log_3_1.0,ami_4_0.0,ami_4_0.11,ami_4_0.22,ami_4_0.33,ami_4_0.44,ami_4_0.56,ami_4_0.67,ami_4_0.78,ami_4_0.89,ami_4_1.0,ami_log_4_0.0,ami_log_4_0.11,ami_log_4_0.22,ami_log_4_0.33,ami_log_4_0.44,ami_log_4_0.56,ami_log_4_0.67,ami_log_4_0.78,ami_log_4_0.89,ami_log_4_1.0
496,4629,Sb2t,49.4767,-0.6868,0.037144130821339987,0.7810152497223175,0.08115023631776365,0.40197300299162886,0.02326630722913078,1.0127053798341643,0.5407186992767494,1.0426718161990856,1.0,0.9941966921503099,0.8671379829326618,0.8086113886642123,0.8588017110595496,0.920540064074876,0.9043892280239375,0.9418609888877795,0.9182024523031335,0.9120988936687336,1.0,0.9322746790876306,1.0339287858360828,0.9541459468097724,1.0027161258523758,0.9822755484774788,0.872683410159369,0.8425894691450778,0.8936077872420614,0.9120988936687336,0.8437072815091594,0.07951743812886741,0.04220599888251578,0.03588999734129522,0.0314204826041089,0.029306165968178255,0.24057007716876389,0.493713384779176,0.7468566923895881,1.0,0.0,0.9544452250548195,1.0076209944816719,1.0350793828050437,1.0121221646709722,0.9842864958738787,0.9911830499800186,0.9753840756159136,0.9852763795425344,0.987874153005392,0.0,0.9967417413984654,0.9394230298797136,0.970377555330384,0.951153618003067,0.9591053208608791,1.0051252366889953,1.0188833066161322,0.9958628116975498,0.987874153005392,0.0,0.0013286241888842453,0.1470290446847015,0.035957681824545985,0.31461557105164767,0.04874005251613002,0.004780536018085365,0.0029129288619084907,0.024861947890502063,0.002116638045925893,0.0,0.0,0.03028649840691519,0.022330973560863013,0.0003176957711331223,0.008573935414731247,0.09552882414093788,0.022546136618029077,0.024689349325890342,0.002116638045925893,0.0,0.1477623664884163,0.42981669438555303,0.09170446199708934,0.4260195898702748,0.33188124365950783,0.01762616583673117,0.06769578033332041,0.09610861309742853,0.0231543387693796,0.0,0.0,0.5823456775553376,0.42997884361921423,0.009557138001335185,0.2906285190879191,0.4090761744880708,0.16334681507307242,0.06235970570616687,0.0231543387693796,0.0,6.751419938897014e-05,0.16745404113108966,0.007495492516337386,0.6230026394337268,0.026125474998667197,0.00014557424135669536,0.0001392403750078137,0.004349626246073483,4.9078882008816196e-05,0.0,0.0,0.018668978387329293,0.010580497664027808,4.037315905581617e-06,0.0016949489680644879,0.08499700477825296,0.005075984824338037,0.003401233266744534,4.9078882008816196e-05
1888,1052,Er,49.5769,-0.6626,0.06427098506855322,0.7749196736409764,0.12333484723780742,0.2443278452706557,0.04419016575642413,1.2985946152518189,0.7070021384558355,0.8787357815447558,1.2732395447351628,0.9928653957324322,0.9807631140179487,0.980463420229332,0.9804747175118265,0.9739004530351251,0.9741073005815786,0.9694080547673557,0.9578578813024129,0.9493224707228596,1.2732395447351628,1.2694982808240016,1.0176558882575386,0.9770053217858117,0.9892907080587794,0.9675465640106005,0.9807871001543189,0.9753216685488373,0.9751125089336247,0.9493224707228596,0.8385811080111617,0.12101621257072262,0.09206231298127997,0.06281705687756524,0.04436836788020566,0.034456132710823026,0.025091311531060888,0.01829845466989597,0.4362770570015518,1.0,0.8603380065709937,0.9549684510089586,0.9597010510911405,0.9598192860704838,0.9598147750714198,0.962417015229344,0.9623348403963645,0.9642064835030663,0.9688497464385646,0.9723210862837844,0.8603380065709937,0.8615993884343051,0.9454564271044782,0.961185758093882,0.9563555741406023,0.9649507522738827,0.9596920295395711,0.9618529246826648,0.9619358294989319,0.9723210862837844,0.0,0.006761007735643817,0.00014071784974698998,0.0007699286600225099,0.00018300469882365155,0.0003699131123438837,0.00047065280999414473,0.00032904831695059486,0.007011007472051192,0.0008577567760077326,0.0,0.004808009027268321,0.000549961544498112,0.032980246373232845,0.005374727374454909,0.0036430724513625717,0.00018096477914487583,7.944280166644497e-05,9.63526071901909e-06,0.0008577567760077326,0.0,0.1624394344122233,0.002728590914041769,0.029066166125258676,0.008274594515553853,0.013786850490396517,0.0033799154932871917,0.008564465255452914,0.024823603820952746,0.044289313300758665,0.0,0.011148266980468117,0.017373422150047946,0.5649243896652892,0.0812486383396391,0.0850693606073056,0.005133949858966811,0.0032833989484259514,0.0013768857177112923,0.044289313300758665,0.0,0.0010433037554035407,3.0423599512809304e-07,1.2194493960627446e-05,7.365064758776782e-07,2.8486032578907157e-06,1.9355977578266253e-06,1.8228979927997137e-06,0.00030891460407779395,1.7689982001079024e-05,0.0,0.010369548704920815,0.0001361944595099707,0.023530756839579534,0.0004497130372726061,0.00022083550583450542,5.470910751048377e-07,1.5102436900744045e-07,3.6381287314469648e-09,1.7689982001079024e-05
1971,24426,Er,49.584,-0.8247,0.1241982725655774,0.6340178440554022,0.06883327301088259,0.1504724786057233,0.013236525101121575,0.41908687114714016,0.5301291118188594,0.6828965815267563,1.2732395447351628,0.9722911843828942,0.9702183471744616,0.9747668168761223,0.9801255364012271,0.9791560045202369,0.969622886870601,0.9832458965735472,0.9198415201912711,0.8861455762695151,1.2732395447351628,1.006447389248501,0.9923243674800226,0.9978896846361012,0.9875819172878187,0.9640938075550235,0.9806795225320848,0.973696584807623,0.9755416850945169,0.8861455762695151,0.7522404607187948,0.01825694005160945,0.056168608561098635,0.19100166448094164,0.32583472040078476,0.46066777632062783,0.5955008322404708,0.7303338881603139,0.8651669440801569,1.0,0.8603380065709937,0.9630570855739623,0.9638830206165838,0.9620729682210211,0.959952459846219,0.9603351717004794,0.9641206789583141,0.9587236161177471,0.9846137363771786,0.9991383925242462,0.8603380065709937,0.9497318068767032,0.9551796698769744,0.9530145487707259,0.9570232140023032,0.9663351913543505,0.9597339793026699,0.9624980209416545,0.9617655446634058,0.9991383925242462,0.0,0.002671713252193466,0.000346447954461067,0.0003798940898205508,0.00010045248195312105,0.0005275153315529368,0.010075713454535205,4.320857561034935e-05,0.1783243231551071,0.16344483305459379,0.0,0.03717599688863176,0.022883754766552782,0.0005382157049840026,7.904311324121665e-05,0.004293692247830873,0.0005033297553525852,0.0003484073500360644,4.3185976459378004e-06,0.16344483305459379,0.0,0.11829373653887627,0.006827822829848978,0.009537750115962381,0.012185131581901657,0.03651444737883219,0.06789699838735044,0.054258759321912084,0.38618505518419843,0.2429678633174575,0.0,0.295600058715355,0.19172694527506487,0.06688866743560265,0.006947055840287569,0.10395386881389158,0.023969346976413928,0.008899094365528777,0.0006938195263742424,0.2429678633174575,0.0,0.00016665901909180566,1.7474023335746618e-06,2.3701120014371166e-06,3.6451819985308967e-07,7.709972860162616e-06,0.0009075769681668257,2.2326588514091136e-07,0.21931320889821038,0.13932490262296507,0.0,0.02411855058551461,0.005546215893208847,1.3605255165911801e-05,3.01423107556103e-07,0.00031627233625826395,5.778992755541403e-06,2.010058902582086e-06,7.7031957074521e-10,0.13932490262296507
