,ID,Area,gz2_label,ra,dec,ea,fy0,fa,gy0,ga,eb,fb,gb,circ_0.0,circ_0.11,circ_0.22,circ_0.33,circ_0.44,circ_0.56,circ_0.67,circ_0.78,circ_0.89,circ_1.0,circ_log_0.0,circ_log_0.11,circ_log_0.22,circ_log_0.33,circ_log_0.44,circ_log_0.56,circ_log_0.67,circ_log_0.78,circ_log_0.89,circ_log_1.0,conv_0.0,conv_0.11,conv_0.22,conv_0.33,conv_0.44,conv_0.56,conv_0.67,conv_0.78,conv_0.89,conv_1.0,ami_1_0.0,ami_1_0.11,ami_1_0.22,ami_1_0.33,ami_1_0.44,ami_1_0.56,ami_1_0.67,ami_1_0.78,ami_1_0.89,ami_1_1.0,ami_log_1_0.0,ami_log_1_0.11,ami_log_1_0.22,ami_log_1_0.33,ami_log_1_0.44,ami_log_1_0.56,ami_log_1_0.67,ami_log_1_0.78,ami_log_1_0.89,ami_log_1_1.0,ami_2_0.0,ami_2_0.11,ami_2_0.22,ami_2_0.33,ami_2_0.44,ami_2_0.56,ami_2_0.67,ami_2_0.78,ami_2_0.89,ami_2_1.0,ami_log_2_0.0,ami_log_2_0.11,ami_log_2_0.22,ami_log_2_0.33,ami_log_2_0.44,ami_log_2_0.56,ami_log_2_0.67,ami_log_2_0.78,ami_log_2_0.89,ami_log_2_1.0,ami_3_0.0,ami_3_0.11,ami_3_0.22,ami_3_0.33,ami_3_0.44,ami_3_0.56,ami_3_0.67,ami_3_0.78,ami_3_0.89,ami_3_1.0,ami_log_3_0.0,ami_log_3_0.11,ami_log_3_0.22,ami_log_3_0.33,ami_log_3_0.44,ami_log_3_0.56,ami_log_3_0.67,ami_log_3_0.78,ami_log_3_0.89,ami_log_3_1.0,ami_4_0.0,ami_4_0.11,ami_4_0.22,ami_4_0.33,ami_4_0.44,ami_4_0.56,ami_4_0.67,ami_4_0.78,ami_4_0.89,ami_4_1.0,ami_log_4_0.0,ami_log_4_0.11,ami_log_4_0.22,ami_log_4_0.33,ami_log_4_0.44,ami_log_4_0.56,ami_log_4_0.67,ami_log_4_0.78,ami_log_4_0.89,ami_log_4_1.0
214,213,590,Er,325.4641,-1.0669,0.08989363362797158,0.8035637857024325,0.13316973271209964,0.2523094766988261,0.03974036411130896,1.1833515569691249,0.8075088640615888,1.1260307768113411,1.2732395447351628,1.005905941877418,0.9857316256873622,0.99206578437444,0.990169465035294,0.9944993262367368,0.9838028541610964,0.9394016607092328,0.9589228798523876,0.9547505989436712,1.2732395447351628,1.23087508800189,1.049389915289471,1.02815055567019,0.9949845861663436,0.9936983699419292,0.990920224603605,0.9954296113823764,0.9828196261172791,0.9547505989436712,0.8458781362007146,0.1825382121123134,0.11280455329049263,0.07277866049736854,0.05475324194264507,0.06423584078220311,0.1060359728147718,0.11074876185857672,0.14979276896422036,1.0,0.8603380065709937,0.9499422827108828,0.9577481421643428,0.9552738981385526,0.9560124441220657,0.9543275451101912,0.9585047481135084,0.97639955510229,0.9684190303561958,0.9701094939013828,0.8603380065709937,0.8740356268965304,0.9336502695222532,0.9415047874059416,0.9541395336635398,0.9546387602514432,0.9557196979797092,0.9539666147769672,0.9588912388137292,0.9701094939013828,0.0,0.008155868885472619,0.00010515928124675832,0.0016436282478206302,0.00034054295840589,0.00025746495123760605,0.0010318297063754002,0.07341412840632748,0.02030697998521348,0.007973373618446614,0.0,0.06484466930011776,0.014732161578381732,0.0012266240330954376,0.006719840206965939,0.0039016900951456437,0.0012289663027380089,0.00037502946238292717,0.0007175896282215425,0.007973373618446614,0.0,0.3220809804264144,0.16954327678255204,0.05214291053658562,0.10784012869105256,0.13011337857645147,0.14802713195949768,0.33851482211772305,0.24212052111077,0.233178608691596,0.0,0.2420701282412766,0.6864628928099971,0.2995383139547479,0.16066451248618033,0.2638697600904596,0.03171093439502095,0.05221057423836202,0.09486246944109174,0.233178608691596,0.0,0.002167840975593565,1.5675968487985634e-06,5.710385341473527e-05,7.260790969314438e-06,5.249796224445409e-06,4.554248664620066e-05,0.049780833118485766,0.005524000138671974,0.0013039829641548638,0.0,0.16817286791638195,0.007786059334572663,0.00010864789295128718,0.0008054547781203335,0.000490439944946275,2.6682358976713995e-05,5.5757907050535415e-06,2.046070378274973e-05,0.0013039829641548638
554,1090,720,Ec,349.06199999999995,-1.1373,0.07199155622426874,0.8467950170698084,0.12352567833251026,0.3344694189741554,0.07508975200923235,0.9821927111195708,0.7617062669856888,0.8537572313518863,1.2732395447351628,0.9570427311885128,0.9428821445598736,0.8566905441361122,0.7681626354076884,0.7043920424570145,0.6922844781869242,0.6867764192209731,0.6128062566886068,0.6385406063267127,1.2732395447351628,1.2466013896933477,0.984995720206892,0.9391552169196656,0.9456537836858648,0.9209023504503604,0.8507888789659971,0.7221917751193344,0.6825120676797626,0.6385406063267127,0.8576533650982737,0.16306257475719152,0.09697189211851087,0.0801654449553429,0.05998588134093445,0.049222850253643265,0.04510738741865042,0.04266510407046411,0.1807127917553525,1.0,0.8603380065709937,0.9691799143347184,0.9749699413383948,1.0123738513513856,1.0553576044807071,1.0898130010860163,1.0967332333459423,1.0999262379414525,1.1456858653193254,1.1291224247760316,0.8603380065709937,0.8689508712672457,0.9586090373622316,0.9765014502581862,0.9738309149389704,0.984133496579628,1.0150888383220684,1.0798656655608898,1.1024164579348938,1.1291224247760316,0.0,0.0426525257477115,0.00653418537126069,0.02119062262391425,0.0032488569203875496,0.004136951255429197,0.004775117094024924,0.006043562381951118,0.7106332436269001,0.4603090260463642,0.0,0.040773225215432314,0.15220229129694393,0.060853766073768314,0.04156454786397857,0.0015403859060662182,0.029025173696544164,0.010985574343362278,0.018057005096400732,0.4603090260463642,0.0,0.2346808318419458,0.09326821677137988,0.0752452957147084,0.005421458675239992,0.023633301068362474,0.0202136317755546,0.041223312192303456,0.7100430664371604,0.5341106233978078,0.0,0.1522096592161296,0.7312475087270852,0.041316583857991085,0.2740101739829833,0.032019257500767284,0.09131556765145324,0.025657955658409275,0.043518092771507366,0.5341106233978078,0.0,0.01721468084143133,0.0006320500733737553,0.003073083950239417,4.931445212321968e-05,0.00013548302935410917,0.00016165829457503382,0.00032164468516464296,1.400933508149715,0.8260316065774143,0.0,0.10574401946077372,0.32363505831795925,0.007896270760964113,0.017989699980329874,3.6100190092359995e-05,0.0058877281472475744,0.0006665142810410988,0.001770209342940638,0.8260316065774143
4380,1597,1741,SBc2l,355.972,-0.2098,0.03796653773276625,0.811080414067837,0.06564730029060202,0.2991180352339656,0.04041484804482587,1.275696003480105,0.8716315729306713,0.894122549041702,1.0,0.9576173579673536,0.816573343415657,0.7313900588302049,0.6275118441985635,0.6289250288284077,0.6559244801652069,0.5015587569560581,0.5549211981919815,0.6115863815056127,1.0,1.2043372386288491,1.0096037350153693,0.977185213008638,0.9869775251145236,0.8818447005138796,0.779703208739591,0.6170419814362497,0.6546303228553181,0.6115863815056127,0.7055724417426525,0.13017263920966562,0.060152372589374274,0.03751362681443656,0.02191509190418835,0.01585398253235853,0.014764328726194174,0.12312164545220472,0.5615608227261022,1.0,0.0,0.9689474399144974,1.0312187781716609,1.0748287374399772,1.136131981164321,1.1352263810130416,1.1183344771989523,1.2270129143984936,1.1858344054059435,1.1464892405955656,0.0,0.8826160599472714,0.9486127143150224,0.9611405239502272,0.9572609284759492,1.0010452813193935,1.0494568602471774,1.1429090100788777,1.1191270378220752,1.1464892405955656,0.0,0.0118148075589207,0.07486654760963578,0.19286524196677174,0.07321938715757577,0.17696425909232807,0.16998587595836176,1.5245035456241085,1.25449683661262,1.0130782082515606,0.0,0.10545369688862888,0.2446402201413474,0.04120250883588192,0.011033170646201695,0.0017983948835804554,0.11918465998422274,0.09744336817462927,0.19127358577044268,1.0130782082515606,0.0,0.2253984991317028,0.2081936953278014,0.22497681868260852,0.3609252219350053,0.5410609194730516,0.4664760449175721,1.3778605540511566,1.2081698343007148,1.134190826696486,0.0,0.393703899093172,0.5672284408394457,0.7238793802011663,0.2650024058037447,0.009148691373735921,0.19503942315219255,0.446291759028008,0.5051926548539273,1.134190826696486,0.0,0.002346696374272209,0.03793685659175718,0.1728797174390965,0.0518384107948376,0.25385415633935743,0.2177702779234716,3.0974875147497487,2.5862885691597333,2.1572113482472592,0.0,0.2734908743624081,0.5276263614599082,0.04597012728114164,0.002328738752193897,2.8497215319176787e-05,0.07517746030846446,0.093131654406466,0.2703348190529478,2.1572113482472592
111,878,448,Er,318.4925,-1.2228,0.06433133506450257,0.843393639405738,0.1449330136940524,0.2202457677044402,0.11745733223487155,1.4223754277900384,0.8459521555446556,0.3913711401198283,1.0,0.9993800640503362,0.9920824275848018,0.9480606640787992,0.9504672065695536,0.951827862040906,0.9383888070101158,0.9292411571344058,0.6375037978878095,0.5701465824815797,1.0,1.2710481247445873,1.2620901113412069,1.039646747650674,1.013841428829282,0.9710046955661954,0.9638902357613036,0.951575636613214,0.9419845700575736,0.5701465824815797,0.6363636363636357,0.3934292848434525,0.2443582796004416,0.1637497823008802,0.10964637047163844,0.08634910931727935,0.0951093854544298,0.08018623476560931,0.05992926227221498,1.0,0.0,0.9524394795770088,0.9552700353648886,0.9728374949297732,0.9718535605311454,0.9712985791165,0.9768187925670891,0.9806261737948252,1.1467853919705968,1.174855254673704,0.0,0.8610465542853211,0.8640970819537048,0.9372714227885054,0.946910629496795,0.9635716328404328,0.9664169901920234,0.9714014274231386,0.9753334662204616,1.174855254673704,0.0,0.025068138314736282,0.0005198586293397563,0.0013836762366723455,3.545155922713588e-05,0.00041276419105297903,0.004340453333970138,0.001309169870216541,1.040287852523845,1.1947338134332943,0.0,0.0033543084057541827,0.014328430330682687,0.009400672661985273,0.001837142434997538,0.00038028078574808664,0.0005880716633015952,0.0004492123010994138,0.0022109529984386325,1.1947338134332943,0.0,0.4475384311650327,0.095325307129335,0.0380124964677229,0.0003891427075636937,0.010526227631638106,0.062496564645225273,0.14462602332852365,1.0292376861552852,1.1599573989956065,0.0,0.012521758294827304,0.033223470637369176,0.5114300843822641,0.055796222602551515,0.06496895324957949,0.033105283765655386,0.007892043205858908,0.042888201005451515,1.1599573989956065,0.0,0.011783860252493051,1.4678192764091846e-05,3.509048341690559e-05,2.288992450474916e-08,2.8596519309863045e-06,0.00024472866112483293,6.47677317824856e-05,2.1286242373689173,2.465521739697766,0.0,0.008699304786809033,0.030902586774072125,0.0029534966471254486,0.0002323949143194379,1.1710788663264184e-05,9.30485251864272e-06,2.8506976329470853e-06,7.49624706237855e-05,2.465521739697766
1729,935,1613,Sb,313.3912,-0.8072,0.06512483558781773,0.7130354281847493,0.20072194920293948,0.2391503451560835,0.004238397537331164,1.248788631481924,0.3757511177207316,1.859834689731614,1.2732395447351628,0.9885174580560628,0.9597393057138324,0.9312199731105232,0.9156564553262864,0.7835033802757962,0.7956701570984738,0.8440982532713509,0.8267800130581221,0.8217586306604396,1.2732395447351628,0.8818346688328988,1.0065578965831272,1.0004485551316868,0.9807501855759848,0.9496972469358196,0.9351863103707936,0.8938249763484556,0.7991506281978349,0.8217586306604396,0.9339895773016798,0.11148945414894124,0.07015057611499319,0.06416684763623788,0.2959348210153877,0.3696613615224139,0.2763616983729989,0.4811369463627653,0.7405684731813826,1.0,0.8603380065709937,0.9566605603638034,0.9680902940735444,0.9797991997719624,0.9863578340586632,1.0475328966002238,1.0414445641453378,1.018180739456116,1.0263284281114018,1.0287257953186757,0.8603380065709937,1.002018065424739,0.9497280854631772,0.9520412573823748,0.959708364024508,0.9721696123457204,0.978147632868298,0.9957695380782408,1.0397217197298825,1.0287257953186757,0.0,0.0008039437860171383,0.00020970332169851152,0.0007854494026882723,0.01442922191139633,0.6214383025853734,0.19979435280415414,0.04540731471190185,0.0001823762138702652,0.00031879654131363914,0.0,0.08098320740175645,0.010579128059436144,0.017498722790161302,0.001981279651803613,0.0014265699674529627,0.0006574741164237303,0.07461733460342301,0.1585590313701719,0.00031879654131363914,0.0,0.06757211755134714,0.0085025098068524,0.014296886174154052,0.0845999879594279,0.639345596324358,0.3198427279501875,0.10490124973323267,0.001512521622847288,0.0019166623759964527,0.0,0.18777673114118865,0.368738603102878,0.2517917958479564,0.033316427704564965,0.031017194667923367,0.006319443163201093,0.2265544576155909,0.2852365259611669,0.0019166623759964527,0.0,4.3183143869953714e-05,1.1094972052521594e-06,8.90868527004089e-06,0.0017651302143719344,1.1962936813147362,0.21977995155411686,0.01159100505445304,3.129689334235375e-07,8.128154393127888e-07,0.0,0.17465902464116145,0.002720591997652283,0.005251241292098665,5.360462895594501e-05,3.802738777343167e-05,4.6250847056790586e-06,0.03992059278781522,0.14571886755717262,8.128154393127888e-07
1215,1435,937,SBb2m,26.6637,-1.0892,0.06572258245827083,0.8144307950476514,0.0261489260571289,0.5778323991886579,0.032611110115406614,1.147509223426984,1.0995367060047854,1.5246922219744805,1.2732395447351628,0.9921063137010292,0.8899401883187489,0.6453066101107567,0.8174460987281328,0.8996825727878835,0.9529884510930444,0.9812802392563084,0.9849168105433936,0.9893999894835572,1.2732395447351628,1.2664172313084587,1.0454631186368757,1.0078610510680115,1.0004562074484584,0.9004927024666797,0.6808221847817861,0.8569339037062612,0.9682751339983204,0.9893999894835572,0.934197407776668,0.5373636659124209,0.3242568446498857,0.14951675527783673,0.0701092785766716,0.05095203551293847,0.040231748990947884,0.029295146257852574,0.375541515155898,1.0,0.8603380065709937,0.9552577161515358,0.9974929977253316,1.1268593253277912,1.0307977533167043,0.993218411748826,0.9708259217502456,0.9594972211375006,0.958067364521296,0.9563126783629308,0.8603380065709937,0.8625438523712607,0.9350893175338032,0.9491950939573428,0.9520278541684636,0.9928687003017592,1.1082203998867706,1.0122593192618703,0.9646591908125358,0.9563126783629308,0.0,0.0026091832988984058,0.17128249039442306,1.1128518343130218,0.14332651458087978,0.0036725447944603038,5.053383380563935e-05,0.0011910611072776273,0.002081008482354632,0.0004905109364696657,0.0,0.010442325701341515,0.010108027376590924,0.006809663553611271,0.0012948878984347907,0.13034578732078098,0.9652896645021254,0.0538701825751914,0.00011188646672457658,0.0004905109364696657,0.0,0.09607863121864836,0.4576530811345734,1.3073093427700129,0.4516661521328323,0.0010599318601795405,0.001064630649944715,0.08366640778215778,0.16948273354176796,0.18161826363056546,0.0,0.03898236263215105,0.5579333289607492,0.3137526881797658,0.05525606168058887,0.380191529233682,1.1853612578544728,0.2923107644829415,0.010654689172873738,0.18161826363056546,0.0,0.0001025889398436402,0.22256996460836248,2.3978298683953896,0.16667826393372187,2.3492184434150594e-05,4.0928397430315606e-08,4.077854124981532e-05,0.00014127268462685213,1.6812317513432255e-05,0.0,0.02708177714764637,0.0037616591770969435,0.0017984196555505952,3.3106760049063675e-05,0.12926895741283487,2.069546362121571,0.027989842076059455,4.004768695913944e-07,1.6812317513432255e-05
108,1529,571,Er,317.9613,-1.2206,0.08771266906674809,0.8045503201012738,0.15911758149735275,0.25653369979269863,0.06745440126671083,1.245697773244696,0.7099846655932749,0.7931572010235165,1.2732395447351628,1.012425327853598,0.9752726477505712,0.9908328947954194,0.978898902082428,0.9706360985321576,0.9759204276512996,0.9437999534040508,0.9422536447214818,0.8938532554599553,1.2732395447351628,1.2283599319748515,1.0489372083289041,1.0282746113746164,0.9818701313678428,0.9813276552179666,0.9870347556392194,0.9684186044357412,0.9790129889421868,0.8938532554599553,0.7914067914067904,0.2301066613329621,0.1908511602154163,0.1510474396407045,0.14770466983502994,0.8888315652874151,0.685082148108383,0.3691565198645929,0.2415828923859444,1.0,0.8603380065709937,0.9474413295945008,0.9618731585954532,0.9557542210831232,0.960436723104777,0.9637164761297976,0.961615386955318,0.974585547482614,0.9752222475639474,0.9957555740301544,0.8603380065709937,0.8748488475653631,0.9338207112027676,0.9414583739754281,0.9592682283868252,0.9594863588035952,0.9572381903492784,0.9646021039728448,0.960391674111724,0.9957555740301544,0.0,0.008400627249844344,0.0042276816785244645,0.0006536425508427269,0.0012095819770873795,0.001670198344800093,0.0010315975955346214,0.00010265362715301806,0.0021104041695475173,0.1025654457684596,0.0,0.0686951201032398,0.01480361919055266,0.0010730737912922463,0.003088533382672072,0.0018492961456485872,0.0006523734505303383,0.00043113834753571756,0.00024082028065206592,0.1025654457684596,0.0,0.10200780219132023,0.05095754889178331,0.037535257237290065,0.07151764701187836,0.05415883272890586,0.031069808857459663,0.02084397497246236,0.05469059637794255,0.3901762395537318,0.0,0.2564415607327284,0.680644441236573,0.2735415441564916,0.19419566699443494,0.11030043142509716,0.06144436790456019,0.01384935829753197,0.003584574401005751,0.3901762395537318,0.0,0.001287437451524928,0.00021380797823544607,1.1636878515399586e-05,3.849667284853928e-05,5.352812725105903e-05,1.947877303759237e-05,5.267274767019517e-07,7.664429137684708e-05,0.09152363886221092,0.0,0.17815877342398867,0.007989021769127072,8.156657636670309e-05,0.00029174889012688066,0.00010965705009103944,1.8213641800819558e-05,3.671830018732776e-06,7.080709215066994e-07,0.09152363886221092
322,999,586,Er,333.0574,-1.1114,0.03853945780710665,0.9024422162156622,0.08700258553675128,0.3393588158498822,0.08390403643968078,1.3723560924098075,1.0518835429468871,0.8430196148161971,1.0,1.0305274368289592,0.9802576895300266,0.9825540016388816,0.9908518435321167,0.9944214259169244,0.9381553661889162,0.9707506406688567,0.9615255243007074,0.9481454882921316,1.0,1.2656942270818021,1.2348507298467482,0.9364910093833804,0.9969942677693168,0.9948151214499354,0.9806523495317666,0.9966377433334668,0.9407590047454648,0.9481454882921316,0.8611315209404846,0.2957428069040051,0.2273333133998378,0.15833721193809833,0.12620994854274814,0.09865523607992067,0.08696569782344275,0.06796700518695381,0.12259497255418195,1.0,0.0,0.9406215091925688,0.9599004440789464,0.9589957328033912,0.9557464400526318,0.9543578798091874,0.9769152649487332,0.963670715543826,0.967368624027281,0.97280247275618,0.0,0.8627776199732385,0.8732809467121062,0.9782358577416862,0.9533622206698322,0.954214487258944,0.959744844759132,0.9534984809126864,0.9758387330083352,0.97280247275618,0.0,0.0007502135751430465,0.007059187643304875,0.004445648572620252,0.0002237604969846267,0.00013315365020969823,0.10893517501093776,0.016376178342599756,0.0065533967404291455,0.007185466054013736,0.0,0.011549535737042486,0.04933489109648228,0.040448330688671916,0.009331451528097362,0.002159927721352459,0.0015060622498023453,2.9084156018405187e-05,0.07796019657356536,0.007185466054013736,0.0,0.20432945352645374,0.2455769068471468,0.2273721274322959,0.058065843169587926,0.03970232214722884,0.2571521600732421,0.1572656218998483,0.30690598962145144,0.2576293495635687,0.0,0.043113677666693405,0.11439188997338667,0.22927416454023106,0.22213164182794645,0.10106425763223607,0.059642059188306576,0.015695910951146433,0.26725044240379153,0.2576293495635687,0.0,4.164294933663497e-05,0.0011257681919890283,0.0005336230130518608,2.7101069978063245e-06,1.1644182123985114e-06,0.07682205414574528,0.0030457874959177165,0.001165822215930431,0.0011893084431011342,0.0,0.02995327479189708,0.10640195895180064,0.014586569765575545,0.0016067057630121536,0.0002089980152679925,4.738530282170481e-05,7.797786327817371e-08,0.04679057641491883,0.0011893084431011342
166,1301,685,Er,322.5809,-1.0562,0.05161124619548731,0.8405230240605652,0.13313523871727714,0.3227273798469085,0.03828269085781382,1.4917474731431364,0.7322389854618458,1.227225955958904,1.0,0.9702180090846926,0.9691543934170384,0.9074157975791164,0.9067045872894792,0.923936877522058,0.9523898478503644,0.9704931650653774,0.9829397148346788,0.9851622151289818,1.0,1.2573698811309162,1.1924984008320323,1.0034456858630698,0.9857045489166232,0.9390591194194712,0.926790828760642,0.9117974195066718,0.9546191245754481,0.9851622151289818,0.9213180901143234,0.1893289228647204,0.10677806955134933,0.07470144684863891,0.07305595021671665,0.047747886932878826,0.038098805770224266,0.030824067414186012,0.2194335119307536,1.0,0.0,0.9639319590335632,0.9643078786181754,0.9898805769557948,0.9901868625787221,0.9828537444608436,0.9710696439731472,0.9637734120907,0.9588440056486603,0.9579710829229338,0.0,0.8654691151335063,0.887560201251938,0.9508823181836956,0.957777962757606,0.9765506126224864,0.9816553153713632,0.9880030537378556,0.9701629535960488,0.9579710829229338,0.0,0.026745428664108915,0.001017074154031503,0.00313373716946392,0.003298271602729693,0.00643906324279093,0.00036373110565374563,0.00037808724158486717,0.00023804767010291366,0.0005007769714501097,0.0,0.02428972329339801,0.10376384576551737,0.008900796207878293,0.023134758415842824,0.0015444215915136402,0.007422185801991318,0.003565494188960236,0.0007035028276501367,0.0005007769714501097,0.0,0.4692713440283993,0.023164540547109532,0.01765348015490155,0.02009540654072868,0.05649294440504661,0.006379953485867161,0.033148704680442925,0.01813574231664121,0.018935398062250215,0.0,0.09067825438031722,0.24059720309275925,0.2812068712597328,0.3870695997227529,0.04440350651143345,0.12926081792135105,0.055767130247957056,0.01277521569684014,0.018935398062250215,0.0,0.016131406370711126,1.0933831109315218e-05,0.00010393972669073722,0.00010120211654597732,0.00043423858102248505,1.933559379553956e-06,4.502648643708852e-06,1.6410930792596887e-06,5.0811095386044605e-06,0.0,0.06299443999834986,0.2237918450656214,0.002204127559689508,0.011395714681083548,3.995761740961671e-05,0.0008307111496132164,0.00016956765358559894,7.413279568696968e-06,5.0811095386044605e-06
3106,670,1774,Sb2m,26.586,-0.6472,0.02104982994023689,0.8788749269922203,0.0418274925564013,0.4047993361197824,0.04737862511929906,1.4033326652578184,1.035052182394374,0.962927119956734,1.0,0.915609687759126,0.8551670176616941,0.8523289399159028,0.743546616146244,0.7466597101423785,0.7469122810237174,0.7315377187589209,0.7367358854839046,0.7541984388273427,1.0,1.2054926957477814,1.0083890053267477,0.9283646813283628,0.9490687261733176,0.9311942729111636,0.8434336745115795,0.7571923597588974,0.7487529650194081,0.7541984388273427,0.9270969427750184,0.2890494542829911,0.1662369179491637,0.1061945213059724,0.07005419297309068,0.04793883141562988,0.037487403932408465,0.021480663119817826,0.2902488661772516,1.0,0.0,0.9863776762405508,1.0130695865918369,1.014373061465388,1.068276336843266,1.0666165320325915,1.0664822783835586,1.074747314151288,1.0719319404092271,1.062629525471953,0.0,0.8822424681540914,0.9490721380757404,0.981024750156232,0.972426217108394,0.9798119569497398,1.0184908144603912,1.06105903001392,1.0655050571974662,1.062629525471953,0.0,0.026364028458120442,0.05585063540876148,0.006048404355672275,0.3688843785107835,0.2966931480721847,0.0918863432383342,0.12843504269523526,0.11136880876330256,0.002363404414346766,0.0,0.10369724682433316,0.253877894610951,0.02204301948153966,0.008480795800430152,0.01033383855673703,0.08422793345584187,0.3918117625387624,0.12965357579780892,0.002363404414346766,0.0,0.31121554788356026,0.2267489679184631,0.012837768011245192,0.5714353412041225,0.4999224938836713,0.1671210798565758,0.13260753943108167,0.17854531224842812,0.017257858063317397,0.0,0.3871034931364264,0.5886632332678319,0.2576226374277804,0.11774918706990314,0.15839491263492878,0.31861015926112946,0.6130130801510021,0.2300539346888203,0.017257858063317397,0.0,0.009756415670610351,0.025117376472946082,0.00017743736066248131,0.6642423337963206,0.4796630358167793,0.04564598719407601,0.06840715671920586,0.0642272895174955,4.984348306511356e-05,0.0,0.2689351957923189,0.5475465873307286,0.007485322670633046,0.0012935114349022366,0.0015197649518242677,0.059478524190845476,0.7337299270535491,0.09433280418425044,4.984348306511356e-05
