ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90
99,2022.2513157894737,336.9263157894737,3.0364540902465778,2.7647051219250085,1.4536498378515523,3040.0,77.0,13.0,19.240506329113924,2.5854414729132054,3.1915382432114616,1.1283791670955126,5.863230142835039
100,1792.9968968192397,337.46741660201707,3.517030989294504,2.4950804330591656,-0.4113707439586848,2578.0,55.0,11.0,14.988372093023257,2.763953195770684,3.385137501286538,1.2615662610100802,6.102643417692329
101,1517.0366076876144,351.57474069554604,2.1585628088400495,1.71375158390323,0.7476005384490679,1639.0,109.0,19.0,26.43548387096774,1.4927053303604616,2.111004122822376,0.5641895835477563,3.826519928662906
102,1440.5056818181818,347.3238636363636,1.7267024911835376,0.9587806773251991,1.1977724716302074,176.0,15.0,7.5,8.0,1.8712051592547776,1.381976597885342,0.5641895835477563,2.1850968611841584
103,1747.976,351.804,2.57963664198427,0.9992411093416769,-1.5310262729142043,250.0,21.0,7.0,7.352941176470588,1.5957691216057308,1.5957691216057308,0.5641895835477563,2.7057581899030048
104,1823.469696969697,355.3636363636364,0.9910825883977745,0.6140275779399232,1.3721606901250614,66.0,13.0,6.0,6.0,1.2615662610100802,0.7978845608028654,0.0,1.381976597885342
105,837.949806949807,351.2084942084942,2.4583760173590328,1.7161431218753125,0.8917390351176564,518.0,26.0,13.0,12.634146341463415,2.5854414729132054,2.0342144725641096,0.7978845608028654,3.141274657157109
106,1127.8191489361702,359.3978723404255,1.8857442777873004,1.3312054493792616,0.6851202788972676,470.0,40.0,13.0,13.823529411764707,1.4927053303604616,1.7841241161527712,0.5641895835477563,2.8209479177387813
107,231.46228545618789,368.2865853658537,5.850036931486947,4.208727583672507,1.190478938204944,4428.0,44.0,13.0,13.968454258675079,3.5682482323055424,5.725898905580716,2.0342144725641096,8.884866446580956
108,1802.0181818181818,363.76363636363635,0.9718467284972231,0.6319142260537005,-1.545317492597016,110.0,25.0,11.0,11.0,1.1283791670955126,0.7978845608028654,0.0,1.381976597885342
109,1045.5580487804878,363.74666666666667,1.8618495919357616,1.5528210493491856,0.747341775722393,3075.0,259.0,16.0,37.04819277108434,1.381976597885342,1.692568750643269,0.5641895835477563,3.8678889139475245
110,1356.086865515437,383.4160125588697,4.218283508064088,3.2896677388446363,1.182390991676414,3822.0,100.0,15.0,19.01492537313433,1.8712051592547776,4.068428945128219,1.1283791670955126,6.978639737521917
111,75.35326086956522,377.07065217391306,1.409366650474168,0.7171718451693534,0.7780938466107324,184.0,21.0,12.0,11.5,1.692568750643269,1.2615662610100802,0.0,1.8712051592547776
112,433.9049388111888,373.5504807692308,2.0794086793395663,1.9074772244623877,-1.4992868968720858,4576.0,387.0,15.5,39.44827586206897,1.381976597885342,1.7841241161527712,0.5641895835477563,4.61809077155419
113,385.3113388853299,370.052530429212,3.2341753553630372,2.358146314679511,-1.3660289659840643,1561.0,39.0,12.0,13.008333333333333,2.5854414729132054,3.3377905890622728,1.1283791670955126,5.262410103554244
114,1373.1221945137156,376.2269326683292,2.359361619544992,1.0199507446159937,-0.6513883702340595,401.0,31.0,11.0,11.794117647058824,1.381976597885342,1.692568750643269,0.5641895835477563,2.763953195770684
115,1633.2508573210018,375.53133118570094,2.3411482071669316,1.8381263684685427,-1.5205075310634537,9623.0,858.0,12.0,56.60588235294118,1.2615662610100802,1.692568750643269,0.5641895835477563,4.478115991081385
116,1634.140252454418,387.523141654979,1.3192142122017227,1.0425656001723802,0.7336741712518802,713.0,89.0,14.0,21.606060606060606,1.1283791670955126,1.2615662610100802,0.0,2.4592453796829674
117,191.23519736842104,385.0608552631579,2.4205001131335666,1.5368029477856562,-1.2952275423459874,608.0,38.0,10.0,12.408163265306122,1.2615662610100802,1.9544100476116797,0.5641895835477563,3.385137501286538
118,488.63572224285184,383.5235796509469,5.907960915856179,3.894110796859561,-1.005474625574175,2693.0,53.0,10.0,11.411016949152541,1.692568750643269,4.61809077155419,1.381976597885342,7.48482063701911
119,307.7513020833333,390.3125,1.9265819244795572,1.7699382572636886,0.22993885668460387,768.0,51.0,11.0,13.473684210526315,1.5957691216057308,1.9544100476116797,0.5641895835477563,3.477898169151024
120,13.75,406.375,0.8332936737406186,0.4769660924047574,-0.12167764396401444,40.0,9.0,7.0,5.714285714285714,1.2615662610100802,0.7978845608028654,0.0,1.1283791670955126
121,612.9978401727861,411.792656587473,3.3001157224006903,1.4686568714978836,0.9343742000523665,463.0,19.0,11.0,11.292682926829269,2.8209479177387813,2.0342144725641096,0.7978845608028654,3.141274657157109
122,933.9897260273973,408.2140410958904,2.2464378478487688,1.943128543183876,-0.9248517830844459,584.0,26.0,11.0,11.450980392156863,2.5231325220201604,2.1850968611841584,0.7978845608028654,3.431831258788849
123,457.8421052631579,415.5964912280702,0.8903798896207631,0.531630952743514,1.3440991640544944,57.0,14.0,4.0,6.333333333333333,1.1283791670955126,0.7978845608028654,0.0,1.2615662610100802
124,859.4843152257077,412.56235654169853,2.4953583208900803,1.536012887603695,-1.4043346190221497,1307.0,88.0,16.0,21.783333333333335,1.5957691216057308,2.111004122822376,0.5641895835477563,3.826519928662906
125,1602.0483641536273,423.94096728307255,4.169795401600764,2.2839686817917046,-0.5865113523321688,1406.0,30.0,13.0,13.39047619047619,3.477898169151024,3.385137501286538,1.2615662610100802,5.140011726956917
126,1260.032196969697,420.84659090909093,2.651439117008528,1.893528750695328,1.0493353217414052,528.0,21.0,9.0,9.10344827586207,2.763953195770684,2.326213245840639,0.7978845608028654,3.6125759969217834
127,899.3450325945241,424.83269882659715,2.235529071236336,1.913893068728586,-0.31281406988378957,19175.0,1649.0,13.0,81.59574468085107,1.381976597885342,1.5957691216057308,0.5641895835477563,4.442433223290478
128,1443.8606382978724,434.6127659574468,2.017034917813425,1.3445976846097076,1.3062439537883856,940.0,81.0,11.0,17.40740740740741,1.381976597885342,1.5957691216057308,0.5641895835477563,3.2410224072142872
129,521.3610108303249,443.115523465704,1.4607985711836744,1.1882439689048205,0.07755020242526031,277.0,27.0,10.0,10.653846153846153,1.2615662610100802,1.5957691216057308,0.5641895835477563,2.4592453796829674
130,408.3867403314917,448.96132596685084,1.5736328312738639,1.2926555956375505,1.1304549632236824,362.0,40.0,7.0,9.526315789473685,1.1283791670955126,1.4927053303604616,0.0,2.763953195770684
